    -0.799001E+01    0.100044E+01   -0.176563E+00   -0.349751E-02   -0.216872E-02
    -0.797004E+01    0.100049E+01   -0.176564E+00   -0.344519E-02   -0.630334E-02
    -0.795006E+01    0.100061E+01   -0.176567E+00   -0.339023E-02   -0.974644E-02
    -0.793009E+01    0.100079E+01   -0.176571E+00   -0.333542E-02   -0.126504E-01
    -0.791011E+01    0.100103E+01   -0.176576E+00   -0.328078E-02   -0.150986E-01
    -0.789014E+01    0.100131E+01   -0.176583E+00   -0.322629E-02   -0.171615E-01
    -0.787016E+01    0.100163E+01   -0.176591E+00   -0.317197E-02   -0.188990E-01
    -0.785019E+01    0.100198E+01   -0.176601E+00   -0.311782E-02   -0.203619E-01
    -0.783021E+01    0.100235E+01   -0.176613E+00   -0.306384E-02   -0.215930E-01
    -0.781024E+01    0.100275E+01   -0.176627E+00   -0.301003E-02   -0.226286E-01
    -0.779026E+01    0.100317E+01   -0.176644E+00   -0.295640E-02   -0.234993E-01
    -0.777029E+01    0.100360E+01   -0.176663E+00   -0.290295E-02   -0.242312E-01
    -0.775031E+01    0.100405E+01   -0.176685E+00   -0.284969E-02   -0.248461E-01
    -0.773034E+01    0.100451E+01   -0.176709E+00   -0.279662E-02   -0.253624E-01
    -0.771036E+01    0.100498E+01   -0.176736E+00   -0.274376E-02   -0.257958E-01
    -0.769039E+01    0.100546E+01   -0.176766E+00   -0.269109E-02   -0.261593E-01
    -0.767041E+01    0.100594E+01   -0.176799E+00   -0.263865E-02   -0.264641E-01
    -0.765044E+01    0.100643E+01   -0.176834E+00   -0.258641E-02   -0.267195E-01
    -0.763046E+01    0.100692E+01   -0.176873E+00   -0.253441E-02   -0.269334E-01
    -0.761049E+01    0.100742E+01   -0.176914E+00   -0.248263E-02   -0.271123E-01
    -0.759051E+01    0.100792E+01   -0.176959E+00   -0.243109E-02   -0.272618E-01
    -0.757054E+01    0.100842E+01   -0.177006E+00   -0.237979E-02   -0.273867E-01
    -0.755056E+01    0.100893E+01   -0.177057E+00   -0.232875E-02   -0.274908E-01
    -0.753059E+01    0.100944E+01   -0.177111E+00   -0.227796E-02   -0.275774E-01
    -0.751061E+01    0.100995E+01   -0.177167E+00   -0.222744E-02   -0.276494E-01
    -0.749064E+01    0.101046E+01   -0.177227E+00   -0.217720E-02   -0.277091E-01
    -0.747066E+01    0.101097E+01   -0.177290E+00   -0.212723E-02   -0.277584E-01
    -0.745069E+01    0.101148E+01   -0.177356E+00   -0.207756E-02   -0.277991E-01
    -0.743071E+01    0.101200E+01   -0.177425E+00   -0.202818E-02   -0.278324E-01
    -0.741074E+01    0.101251E+01   -0.177497E+00   -0.197910E-02   -0.278595E-01
    -0.739076E+01    0.101303E+01   -0.177572E+00   -0.193034E-02   -0.278815E-01
    -0.737079E+01    0.101355E+01   -0.177651E+00   -0.188189E-02   -0.278991E-01
    -0.735081E+01    0.101406E+01   -0.177733E+00   -0.183378E-02   -0.279130E-01
